block_size,compaction_readahead_size,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,Throughput,Timestamp
4096,0,4,0,32,1,1,10,2,1,67108864,-52346,90691
32768,280000,4,16,64,64,7,8,2,8,4,-18782,183701
1024,200000,1,1,256,32,3,7,32,16,8388608,-43598,275175
1024,0,2,64,128,32,10,11,1,16,2048,-25902,369673
1,80000,1,0,1024,32,5,8,8,16,64,-4118,467393
256,40000,4,4,1024,64,3,12,32,2,1073741824,-57745,559416
1,0,2,8,8,64,2,12,2,1,8388608,-40741,652326
32,160000,1,32,16,32,2,11,8,2,65536,-22424,747778
131072,0,4,64,128,256,6,0,2,16,32768,-6165,841607
64,280000,4,2,2,1,3,10,1,2,4194304,-26896,935802
4096,0,8,8,128,16,4,14,128,2,134217728,-49931,1027748
32768,0,8,0,1024,1,3,10,16,8,134217728,-46491,1119797
4,0,4,512,512,64,10,6,32,4,67108864,-54979,1212081
1,280000,2,1,2,256,7,2,16,1,4194304,-22401,1304049
256,400000,4,4,512,256,10,8,16,2,1073741824,-58087,1395832
1,160000,4,16,64,128,8,7,2,4,67108864,-55786,1487905
32,120000,4,4,32,64,7,5,16,2,536870912,-57893,1580380
16,40000,16,2,128,256,1,4,16,1,536870912,-50522,1672380
1,40000,4,64,512,32,8,15,8,2,536870912,-58065,1765006
131072,40000,4,512,512,64,8,9,16,2,1073741824,-42565,1856869
32,120000,4,4,32,64,8,5,16,8,536870912,-57885,1948753
32,120000,4,4,32,256,8,5,4,8,536870912,-58352,2040665
512,120000,4,64,512,256,1,6,8,32,536870912,-58711,2133863
512,120000,4,64,512,256,1,1,8,32,536870912,-58416,2225743
512,240000,4,4,1024,256,3,0,8,8,1073741824,-58520,2317636
512,80000,4,64,1024,256,9,0,8,16,268435456,-58599,2409301
512,240000,1,0,64,128,1,6,4,2,268435456,-56769,2501057
512,120000,2,64,512,256,1,6,8,32,536870912,-58958,2593460
512,40000,4,128,256,256,6,6,2,8,1073741824,-58698,2684788
128,120000,2,64,512,256,1,6,2,32,536870912,-58287,2777104
262144,80000,4,128,64,16,8,5,1,8,134217728,-21585,2869062
256,120000,2,128,256,8,4,6,8,8,536870912,-57568,2961020
512,400000,8,8,16,1,8,2,1,1,8,-2376,3059555
1,120000,1,8,512,256,6,2,8,8,1073741824,-57626,3152123
512,80000,2,1,256,256,5,5,8,32,268435456,-57802,3244042
512,320000,1,64,128,256,2,10,4,2,268435456,-58336,3336068
32,160000,1,0,64,2,6,13,16,32,536870912,-56322,3428335
512,40000,2,4,16,256,8,9,8,8,536870912,-57627,3520645
64,400000,2,256,16,256,8,7,2,4,268435456,-56398,3614422
32,120000,4,4,16,16,8,1,4,8,536870912,-55827,3707131
1,120000,1,32,1024,32,8,14,4,16,268435456,-56808,3799612
1,40000,4,1,512,256,6,0,4,4,1073741824,-56861,3892762
512,40000,2,64,512,256,1,6,1,32,536870912,-57681,3985312
512,320000,1,64,512,256,1,10,1,16,268435456,-58212,4077418
512,0,4,0,256,256,7,2,1,8,268435456,-57643,4169117
128,40000,2,64,512,32,1,6,8,2,536870912,-58420,4261851
256,40000,1,128,1024,32,1,6,8,2,1073741824,-58291,4354138
512,120000,4,64,64,256,9,0,4,16,268435456,-58451,4446081
256,160000,4,64,512,32,9,8,1,2,1073741824,-58095,4538133
512,0,4,64,512,256,5,4,2,32,1073741824,-57765,4630489
4096,320000,64,2,8,2,0,6,16,32,67108864,-48510,4720598
128,160000,1,4,128,1,1,8,1,2,536870912,-58153,4813006
