block_size,cache_index_and_filter_blocks,level0_file_num_compaction_trigger,max_background_compactions,write_buffer_size,Throughput,Timestamp
4096,false,4,-1,67108864,-135916,958555
64,true,256,16,32,-572,2037281
32,false,4,1,8192,-5383,3043328
1024,false,1,256,131072,-66758,4016809
1,false,16,-1,32768,-6522,5013719
4096,true,2,2,524288,-14338,5984993
512,false,1,1,33554432,-153703,6950586
1,true,1,2,536870912,-639,8040882
512,false,1,2,33554432,-151590,9010646
512,true,16,-1,33554432,-2766,10006141
4096,true,16,4,128,-7530,11036992
512,false,2,1,33554432,-151176,12006562
512,false,64,-1,536870912,-113500,12995259
256,false,4,-1,67108864,-139297,13956907
128,false,2,1,33554432,-121668,14922143
256,false,2,8,16777216,-109432,15884014
64,false,1,1,33554432,-113278,16849403
2048,false,4,1,33554432,-131162,17810162
16384,false,4,128,134217728,-117849,18774145
512,false,1,2,4194304,-88266,19744174
256,false,8,-1,33554432,-98959,20712594
1024,false,1,1,1073741824,-257863,21675392
2048,true,1,8,268435456,-7967,22642533
4096,false,1,1,1073741824,-231132,23602117
1,false,1,1,1073741824,-245253,24562648
128,false,1,-1,1073741824,-251187,25526425
1,true,256,1,1073741824,-884,26562303
4,false,1,1,1073741824,-245802,27526015
1,false,32,-1,1073741824,-125975,28487346
128,true,16,-1,1,-529,29641883
1,false,1,-1,1073741824,-245074,30605771
16,false,4,1,1073741824,-162437,31577620
8,false,1,-1,536870912,-222267,32538576
32,false,2,-1,1073741824,-247796,33500987
1024,false,1,2,1073741824,-254579,34466719
1024,false,1,4,1073741824,-259560,35431569
1024,false,1,16,1073741824,-260092,36402109
512,false,1,64,1073741824,-254928,37361472
1024,false,1,128,1073741824,-255377,38321523
4,false,2,-1,1073741824,-247098,39284458
1,false,2,2,1073741824,-250859,40245257
1024,false,1,256,1073741824,-259330,41211855
1,false,2,32,536870912,-225686,42173050
4,false,1,64,268435456,-202740,43135429
2048,false,1,256,1073741824,-237033,44095672
1024,false,1,-1,1073741824,-254885,45056446
8192,false,2,16,65536,-53888,46033395
32,false,1,128,536870912,-229605,46995313
512,false,2,16,1073741824,-266925,47961085
8192,false,2,4,1073741824,-218016,48917802
512,false,1,1,1073741824,-257366,49884553
64,false,1,-1,536870912,-231257,50846186
8192,false,1,32,1073741824,-221208,51807671
1024,false,2,16,1073741824,-251202,52768643
512,false,1,2,1073741824,-252625,53740379
512,false,1,-1,536870912,-241443,54700030
4,false,1,16,536870912,-227946,55664936
1024,false,1,-1,536870912,-244513,56629474
256,false,2,8,1073741824,-251216,57598234
512,false,2,128,1073741824,-257050,58563465
16384,false,64,1,1073741824,-109885,59522006
8192,false,2,128,1073741824,-213713,60486001
1024,false,1,4,268435456,-229199,61446548
1,false,2,-1,268435456,-198711,62407225
16384,false,1,128,536870912,-172422,63365986
2048,false,1,2,268435456,-212745,64329732
1,false,2,-1,1073741824,-246731,65292408
256,false,4,256,1048576,-71490,66254058
512,false,2,256,1073741824,-254611,67221120
16384,false,1,16,1073741824,-189441,68183668
8192,false,1,4,268435456,-196997,69144894
512,false,2,2,1073741824,-255097,70108348
512,false,1,256,1073741824,-253952,71068051
8,true,32,-1,4096,-547,72192875
32,false,8,256,1073741824,-127262,73152585
512,false,2,64,536870912,-228240,74112669
1,false,2,256,1073741824,-247278,75072138
8192,false,1,-1,1073741824,-219039,76035727
512,false,2,1,1073741824,-248398,77001541
4096,false,1,256,536870912,-220972,77959831
512,false,2,4,1073741824,-258376,78919338
524288,false,1,256,1073741824,-25609,79881191
128,false,1,256,1073741824,-246925,80841375
4096,false,1,256,1073741824,-233260,81799165
32768,false,2,256,1073741824,-158482,82760366
2048,false,4,128,268435456,-153090,83719944
512,false,2,8,1073741824,-258873,84691401
16,false,2,16,1073741824,-253382,85663162
1024,false,2,256,1073741824,-256391,86626920
16384,false,1,256,1073741824,-184857,87597234
65536,false,2,-1,1073741824,-126063,88557663
16,false,2,256,1073741824,-249205,89519094
1024,false,2,-1,1073741824,-260314,90484869
32,false,1,4,1073741824,-244208,91447119
64,false,2,256,1073741824,-243556,92407191
512,false,2,32,1073741824,-259595,93369920
1024,false,2,128,1073741824,-256997,94331355
512,false,1,1,536870912,-244576,95290783
524288,false,2,1,536870912,-25490,96251934
1024,false,1,8,1073741824,-262770,97210840
512,false,2,1,536870912,-231597,98170839
16,false,2,2,134217728,-171003,99132802
1024,false,2,1,536870912,-229468,100091445
1024,false,2,1,1073741824,-256956,101055202
524288,true,4,-1,1024,-10456,102078768
512,false,2,-1,536870912,-224177,103038770
4096,false,2,1,536870912,-205565,103998343
524288,false,32,32,131072,-9972,104972184
16384,false,2,-1,536870912,-164984,105930944
32,false,1,64,1073741824,-245740,106891292
256,false,1,1,268435456,-215937,107855717
8192,false,2,16,1073741824,-226317,108814909
8192,false,2,-1,536870912,-191353,109774668
16384,false,4,1,16777216,-95446,110732685
16384,false,1,1,536870912,-176609,111694913
